,Unnamed: 0,type,name,author,event,year,names,conf,id,Title,acronym,source,rank,hasData,primaryFoR,FoR2,FoR3
35,16,c,Differential CSIT Acquisition Based on Compressive Sensing for FDD Massive MIMO Systems.,"['Wenqian Shen', 'Bichai Wang', 'Jie Feng', 'Cong Gao', 'Junjie Ma']",VTC Spring,2015,Cong Gao,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
36,478,c,Dynamic Target Acceleration Estimation Using CSI.,"['Jiacheng Wang', 'Zengshan Tian', 'Xiaolong Yang', 'Mu Zhou', 'Jiamin Huang', 'Dusit Niyato']",VTC Spring,2022,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
37,506,c,Boosting Secret Key Generation for IRS-Assisted Symbiotic Radio Communications.,"['Yang Liu', 'Meng Wang', 'Jing Xu', 'Shimin Gong', 'Dinh Thai Hoang', 'Dusit Niyato']",VTC Spring,2021,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
38,544,c,Memory-affecting Network Selection in Next Generation HetNets.,"['Shaohan Feng', 'Dusit Niyato', 'Xiao Lu', 'Ping Wang', 'Dong In Kim']",VTC Spring,2020,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
39,545,c,Incentive Mechanism Design for Federated Learning in the Internet of Vehicles.,"['Wei Yang Bryan Lim', 'Zehui Xiong', 'Dusit Niyato', 'Jianqiang Huang', 'Xian-Sheng Hua', 'Chunyan Miao']",VTC Fall,2020,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
40,576,c,Joint Task Allocation and Data Delivery Framework for Unmanned Aerial Vehicles in Aerial Plant Inspection.,"['Naphat Ngoenriang', 'Sarana Nutanong', 'Dusit Niyato']",VTC Fall,2019,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
41,577,c,Joint Vehicle Routing and Loading in Delivery Planning: A Stochastic Programming Approach.,"['Naphat Ngoenriang', 'Suttinee Sawadsitang', 'Chokchai Leangsuksun', 'Dusit Niyato', 'Puay Siew Tan']",VTC Spring,2019,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
42,578,c,Cognitive Radio Network Throughput Maximization with Deep Reinforcement Learning.,"['Kevin Shen-Hoong Ong', 'Yang Zhang', 'Dusit Niyato']",VTC Fall,2019,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
43,579,c,Re-Route Package Pickup and Delivery Planning with Random Demands.,"['Suttinee Sawadsitang', 'Dusit Niyato', 'Kongrath Suankaewmanee', 'Puay Siew Tan']",VTC Fall,2019,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
44,580,c,Multi-Objective Optimization for Drone Delivery.,"['Suttinee Sawadsitang', 'Dusit Niyato', 'Puay Siew Tan', 'Ping Wang', 'Sarana Nutanong']",VTC Fall,2019,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
45,603,c,Competitive Security Pricing in Cyber-Insurance Market: A Game-Theoretic Analysis.,"['Shaohan Feng', 'Zehui Xiong', 'Dusit Niyato', 'Ping Wang']",VTC Fall,2018,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
46,604,c,Optimal Cross Slice Orchestration for 5G Mobile Services.,"['Dinh Thai Hoang', 'Dusit Niyato', 'Ping Wang', 'Antonio De Domenico', 'Emilio Calvanese Strinati']",VTC Fall,2018,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
47,605,c,Supplier Cooperation in Drone Delivery.,"['Suttinee Sawadsitang', 'Dusit Niyato', 'Puay Siew Tan', 'Ping Wang']",VTC Fall,2018,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
48,624,c,Optimal Cost-Based Cyber Insurance Policy Management for Mobile Services.,"['Dinh Thai Hoang', 'Dusit Niyato', 'Ping Wang']",VTC Fall,2017,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
49,625,c,Analysis of Wireless-Powered Device-to-Device Communications with Ambient Backscattering.,"['Xiao Lu', 'Hai Jiang', 'Dusit Niyato', 'Dong In Kim', 'Ping Wang']",VTC Fall,2017,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
50,626,c,Optimal Stochastic Package Delivery Planning with Deadline: A Cardinality Minimization in Routing.,"['Suttinee Sawadsitang', 'Siwei Jiang', 'Dusit Niyato', 'Ping Wang']",VTC Fall,2017,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
51,627,c,Optimal Stochastic Delivery Planning in Full-Truckload and Less-Than-Truckload Delivery.,"['Suttinee Sawadsitang', 'Rakpong Kaewpuang', 'Siwei Jiang', 'Dusit Niyato', 'Ping Wang']",VTC Spring,2017,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
52,644,c,Opportunistic Energy Scheduling in Wireless Powered Sensor Networks.,"['Dusit Niyato', 'Ping Wang', 'Dong In Kim', 'Zhu Han']",VTC Fall,2016,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
53,738,c,An Opportunistic Spectrum Scheduling Scheme for Multi-Channel Cognitive Radio Networks.,"['Vamsi Krishna Tumuluru', 'Ping Wang', 'Dusit Niyato']",VTC Fall,2010,Dusit Niyato,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
54,68,c,The Idle Period Distribution for CSMA/CA Networks for Spectrum Sensing Applications.,"['Raymond J. Jayabal', 'Chiew Tong Lau']",VTC Spring,2012,Lau Chiew Tong,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
55,69,c,A Throughput Model for CSMA/CA with a Cross-Layer Payload-Dropping Optimization.,"['Raymond J. Jayabal', 'Chiew Tong Lau']",VTC Spring,2012,Lau Chiew Tong,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
56,84,c,Multiple Access Scheme for Multi User Cognitive Radio Based on Wavelet Transforms.,"['Mathew Manju', 'A. Benjamin Premkumar', 'Chiew Tong Lau']",VTC Spring,2010,Lau Chiew Tong,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
57,88,c,A Novel Selective Transmitted Reference Transceiver for High Data Rate UWB.,"['Wilson-Chandra Tjhi', 'Chiew Tong Lau', 'A. Benjamin Premkumar']",VTC Spring,2008,Lau Chiew Tong,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
58,89,c,An Adaptive Waveform Generation Technique for Cognitive Radio.,"['Mathew Manju', 'A. Benjamin Premkumar', 'Chiew Tong Lau']",VTC Spring,2008,Lau Chiew Tong,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
59,208,c,Multi-Rate Broadcasting: Analysis and Design of Stateless Algorithms.,"['Abhik Banerjee', 'Chuan Heng Foh', 'Chai Kiat Yeo', 'Bu-Sung Lee']",VTC Fall,2011,Lee Bu Sung,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
60,224,c,Robust Geographic Routing with Virtual Destination Based Void Handling for MANETs.,"['Shengbo Yang', 'Chai Kiat Yeo', 'Bu-Sung Lee']",VTC Spring,2010,Lee Bu Sung,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
61,242,c,Efficient QoS Differentiation in Crowded Wireless LANs.,"['Abhik Banerjee', 'Juki Wirawan Tantra', 'Chai Kiat Yeo', 'Bu-Sung Lee']",VTC Spring,2008,Lee Bu Sung,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
62,69,c,Transmit Diversity Design for Channels with Inter Symbol Interference.,"['Bingchao Liu', 'Li Fang', 'Daoben Li']",VTC Fall,2013,Li Fang,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
63,251,c,Analysis for Rank Distribution of BATS Codes under Time-Variant Channels.,"['Lin Tang', 'Heng Liu', 'Liu Yang', 'Zheng Ma', 'Ming Xiao']",VTC Spring,2020,Liu Yang,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
64,252,c,A Semi-Distribution Congestion Control Algorithm for Event-Driven M2M Communications.,"['Liu Yang', 'Heng Liu', 'Pingzhi Fan', 'Li Hao', 'Cong Ouyang']",VTC Spring,2020,Liu Yang,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
65,278,c,Data Censoring in Renewable Energy Enabled Wireless Sensor Networks.,"['Miao Yang', 'Liu Yang', 'Zhenghang Zhu', 'Haifeng Wang', 'Hua Qian']",VTC Fall,2019,Liu Yang,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
66,279,c,Distributed Ordering Transmissions for Latency-Sensitive Estimation in Wireless Sensor Networks.,"['Liu Yang', 'Hongbin Zhu', 'Zhenghang Zhu', 'Xiliang Luo', 'Hua Qian']",VTC Fall,2019,Liu Yang,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
67,295,c,An Improved Coordinated Multichannel MAC Scheme by Efficient Use of Idle Service Channels for VANETs.,"['Yongfu Ma', 'Liu Yang', 'Pingzhi Fan', 'Sangsha Fang', 'Yi Hu']",VTC Spring,2018,Liu Yang,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
68,138,c,Cluster-Based Cooperative Spectrum Sensing Assignment Strategy in Cognitive Radio Networks.,"['Wenjie Zhang', 'Yiqun Yang', 'Chai Kiat Yeo', 'Lei Deng']",VTC Fall,2014,Yeo Chai Kiat,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
69,150,c,Enabling Network Based Local Mobility with Cooperative Access Points.,"['Yang Xia', 'Chai Kiat Yeo']",VTC Fall,2012,Yeo Chai Kiat,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
70,157,c,Multi-Rate Broadcasting: Analysis and Design of Stateless Algorithms.,"['Abhik Banerjee', 'Chuan Heng Foh', 'Chai Kiat Yeo', 'Bu-Sung Lee']",VTC Fall,2011,Yeo Chai Kiat,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
71,158,c,DTN Serial Convergence Layer with Multiple Access Control & Neighbour Discovery.,"['Zoebir Bong', 'Chai Kiat Yeo']",VTC Fall,2011,Yeo Chai Kiat,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
72,159,c,Probabilistic Routing Based on History of Messages in Delay Tolerant Networks.,"['Feng Cheng Lee', 'Chai Kiat Yeo']",VTC Fall,2011,Yeo Chai Kiat,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
73,170,c,Robust Geographic Routing with Virtual Destination Based Void Handling for MANETs.,"['Shengbo Yang', 'Chai Kiat Yeo', 'Bu-Sung Lee']",VTC Spring,2010,Yeo Chai Kiat,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
74,187,c,Efficient QoS Differentiation in Crowded Wireless LANs.,"['Abhik Banerjee', 'Juki Wirawan Tantra', 'Chai Kiat Yeo', 'Bu-Sung Lee']",VTC Spring,2008,Yeo Chai Kiat,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
75,238,c,Spatial Propagation Characteristics of 28 GHz Frequency Band in UMi Scenario.,"['Yu Han', 'Lei Tian', 'Xinzhuang Zhang', 'Pan Tang', 'Zhixue Hu', 'Jianhua Zhang']",VTC Fall,2017,Yu Han,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
76,96,c,Performance Analysis of Hybrid FSO/RF System with Transmit Aperture Selection.,"['Shubha Sharma', 'A. S. Madhukumar', 'R. Swaminathan']",ICC Workshops,2020,A S Madhukumar,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
77,104,c,Precoder Design for Dual Satellite System with Joint Decoding.,"['Rajendra Prasad Sirigina', 'A. S. Madhukumar', 'Mark D. J. Bowyer']",ICC,2019,A S Madhukumar,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
78,129,c,Performance limits of rateless codes in delay constrained multihop relay networks.,"['Ashish James', 'A. S. Madhukumar']",ICC Workshops,2014,A S Madhukumar,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
79,159,c,Low Complexity Antenna Selection Scheme for Multiuser MIMO Broadcast Systems.,"['Ernest Kurniawan', 'A. S. Madhukumar', 'Francois P. S. Chin']",ICC,2009,A S Madhukumar,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
